name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chamarajanagar,2024-03-01,34,18.3,25.6,31.8,18.3,25,11.7,46.4,0,0,0,,0,0,38.5,20.5,107.6,1015.3,61.4,16.3,298.8,25.8,10,10,2024-03-01T06:37:27,2024-03-01T18:31:48,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-02,34,19.2,26.2,31.7,19.2,25.4,10.8,43.5,0,0,0,,0,0,34.6,13,123.1,1015.2,71,15.4,286.2,24.6,10,10,2024-03-02T06:36:55,2024-03-02T18:31:56,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-03,33,19.3,26,32.2,19.3,25.8,14.4,51.1,0,0,0,,0,0,26.6,13,125.3,1014.3,32.6,16,292.3,25.4,10,10,2024-03-03T06:36:23,2024-03-03T18:32:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-04,34.9,20.1,27.2,33,20.1,26.8,13.6,46.7,0,0,0,,0,0,22.7,11.2,129.6,1013.7,15.4,15.8,294.3,25.4,10,10,2024-03-04T06:35:50,2024-03-04T18:32:09,0.79,Clear,Clear conditions throughout the day.,clear-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-05,36,21.1,27.9,34,21.1,27.3,13.4,45.6,0,0,0,,0,0,26.3,14.8,141,1013.9,24.6,16.4,298.9,25.9,10,10,2024-03-05T06:35:17,2024-03-05T18:32:15,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-06,34.9,20.7,27.4,32.9,20.7,26.9,13.9,47.4,0,0,0,,0,0,20.9,11.2,158.4,1014.2,65.4,16.1,245.4,21.3,9,10,2024-03-06T06:34:44,2024-03-06T18:32:21,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-07,34.9,20.7,27.7,33.4,20.7,27.2,13.6,46.6,0,0,0,,0,0,22.7,9.4,121.7,1013.4,40.7,16.4,300,25.9,10,10,2024-03-07T06:34:09,2024-03-07T18:32:26,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-08,34.9,20.9,27.9,33.7,20.9,27.3,13.3,44.2,0,0,0,,0,0,20.5,13,163.4,1013.7,23.5,15.8,237.6,20.6,9,10,2024-03-08T06:33:35,2024-03-08T18:32:31,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-09,36,22.9,28.5,34.2,22.9,28.3,14.7,46,0,0,0,,0,0,23.4,16.6,205.2,1013.6,31.3,16.2,285.6,24.5,10,10,2024-03-09T06:33:00,2024-03-09T18:32:36,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
Chamarajanagar,2024-03-10,34.9,22.5,27.9,34.3,22.5,27.7,15.6,50,0,0,0,,0,0,27,11.2,151.5,1015.1,34.9,15.5,232.9,20.2,9,10,2024-03-10T06:32:25,2024-03-10T18:32:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43318099999,43289099999,43291099999,remote,43317099999,VOMY"
