name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wayanad,2024-02-01,32.3,22.5,26.9,34.1,22.5,27.5,20.1,68.5,0,0,0,,0,0,27.4,16.5,312.1,1013.7,19.5,5.5,267.1,23,9,10,2024-02-01T06:50:24,2024-02-01T18:28:05,0.71,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-02,32.3,22.5,26.7,34.7,22.5,27.5,20.2,68.8,0,0,0,,0,0,28.1,14.8,314,1012.9,24.4,6.1,253.2,21.9,9,10,2024-02-02T06:50:17,2024-02-02T18:28:28,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-03,32.1,22,26.7,36.4,22,28,21,72.2,0.2,100,8.33,rain,0,0,24.1,14.8,281.8,1012.9,26.8,6,204.7,17.7,8,10,2024-02-03T06:50:09,2024-02-03T18:28:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-04,32.7,23,27,37.1,23,28.3,21.1,71,0,0,0,rain,0,0,23.8,19.5,307.9,1014.3,31.7,5.9,234.4,20.4,9,10,2024-02-04T06:50:00,2024-02-04T18:29:13,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-05,32.7,22,27.2,35.9,22,28.2,20.8,70,0,0,0,,0,0,32,13.9,238.8,1014.4,14.8,5.9,275.1,23.9,9,10,2024-02-05T06:49:50,2024-02-05T18:29:35,0.85,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-06,32.7,22,26.8,35.1,22,27.9,20.6,70.8,0,0,0,,0,0,34.9,16.6,166.9,1013.5,19.8,5.6,278.3,24.2,10,10,2024-02-06T06:49:39,2024-02-06T18:29:56,0.88,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-07,32.3,22,26.9,36.1,22,28.4,21.3,72.9,0,0,0,,0,0,27.4,10.3,332,1013.7,29.1,5,279,24.3,10,10,2024-02-07T06:49:27,2024-02-07T18:30:16,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-08,32.9,22,26.9,37.2,22,28.1,21.2,73,0,0,0,,0,0,25.2,14.8,349,1012.8,28.6,4.8,280.8,24.3,10,10,2024-02-08T06:49:14,2024-02-08T18:30:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-09,33.4,23,27.5,37.7,23,29.1,21.8,73,0,0,0,,0,0,28.1,16.6,311,1013,32.5,4.7,275,23.9,10,10,2024-02-09T06:49:00,2024-02-09T18:30:55,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-10,34.2,22,27.6,35.4,22,28.5,20.9,69.6,0,0,0,,0,0,34.9,18.4,66.2,1014,24.7,5.1,277.4,24.2,10,10,2024-02-10T06:48:44,2024-02-10T18:31:13,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-11,33.5,22.5,27.7,35.8,22.5,28.7,20.7,67.6,0,0,0,,0,0,25.9,14.8,100.2,1014.2,25.5,4.8,265.2,23,9,10,2024-02-11T06:48:28,2024-02-11T18:31:31,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-12,34,22,27.5,35.2,22,28.3,19.8,65.5,0,0,0,,0,0,30.2,17.4,142.1,1013.4,24.2,5.1,281.4,24.4,10,10,2024-02-12T06:48:11,2024-02-12T18:31:48,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-13,33.4,22,27,36.2,22,27.9,19.9,66.8,0,0,0,,0,0,25.6,13.8,43.8,1013.4,27.1,5.4,281.3,24.3,10,10,2024-02-13T06:47:53,2024-02-13T18:32:05,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-14,32.7,23,27.5,36.4,23,28.8,20.7,68.4,0,0,0,,0,0,28.4,20.5,340,1012.4,22.2,5.6,247.5,21.4,9,10,2024-02-14T06:47:35,2024-02-14T18:32:21,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-15,33,23.5,27.7,37.5,23.5,29.2,21.5,70.9,0,0,0,,0,0,24.8,14.8,322.6,1012.1,25.1,5.4,276.3,23.9,9,10,2024-02-15T06:47:15,2024-02-15T18:32:36,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-16,34.9,23,27.8,38,23,28.9,20.7,68.3,0,0,0,,0,0,31.3,18.6,103.8,1012.2,26.1,5.5,282.1,24.3,10,10,2024-02-16T06:46:54,2024-02-16T18:32:51,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-17,34.5,23,27.8,36.5,23,29.1,21,69.1,0,0,0,,0,0,29.2,15.7,321.3,1011.5,22.8,5.5,275.7,24,10,10,2024-02-17T06:46:33,2024-02-17T18:33:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-18,33.7,24,28.1,38.6,24,30.2,22.4,72.9,0,0,0,,0,0,20.2,18.4,303.1,1011,23.2,5.3,243.8,21.3,9,10,2024-02-18T06:46:10,2024-02-18T18:33:19,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-19,32.9,24,28,37.6,24,30.1,22.4,72.9,0,0,0,,0,0,21.6,19.5,277,1011.3,27.3,5,233.8,20.3,9,10,2024-02-19T06:45:47,2024-02-19T18:33:32,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-20,33.5,24.5,28.3,37.9,24.5,30.6,22.5,72,0.1,100,4.17,rain,0,0,25.6,18.4,291.3,1011.6,27.3,5.4,237.8,20.5,9,10,2024-02-20T06:45:23,2024-02-20T18:33:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-21,33.2,25,28.3,37.4,25,30.2,22.2,71.2,0,0,0,,0,0,27.7,19.4,299.9,1011.3,33.8,5.4,237.1,20.6,9,10,2024-02-21T06:44:59,2024-02-21T18:33:56,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-22,32.3,25,27.7,35.1,25,29,21.1,68.4,0,0,0,,0,0,39.2,19.5,288.1,1011.9,24.8,6.3,260.6,22.6,9,10,2024-02-22T06:44:33,2024-02-22T18:34:07,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-23,32.9,23,27.2,35,23,28,20.4,68.2,0,0,0,,0,0,29.9,18.4,289.3,1011.3,23.6,6.3,268.7,23.2,9,10,2024-02-23T06:44:07,2024-02-23T18:34:18,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-24,32.5,23,27.1,34.9,23,27.9,19.7,65,0,0,0,,0,0,36.7,16.6,305.3,1010.9,39.1,6.4,240.7,20.7,9,10,2024-02-24T06:43:40,2024-02-24T18:34:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-25,33.1,23,27.3,37.3,23,28.6,20.8,68.8,0,0,0,rain,0,0,23,16.5,292.3,1009.4,24.7,6.3,223.6,19.4,8,10,2024-02-25T06:43:13,2024-02-25T18:34:38,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-26,35,24,28.2,35.7,24,29.3,20.6,66.1,0,0,0,,0,0,28.1,13.8,187.9,1009.4,19.6,5.9,278.8,24.1,10,10,2024-02-26T06:42:44,2024-02-26T18:34:47,0.56,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-27,33.5,23,28.4,36.2,23,29.9,21.1,66.5,0,0,0,,0,0,30.6,14.8,302.2,1010.2,23.7,6,272.8,23.6,10,10,2024-02-27T06:42:15,2024-02-27T18:34:56,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-28,33.3,24,28.6,37,24,30.8,21.8,68.5,0,0,0,,0,0,36,16.6,251.6,1009.9,21,5.8,294.2,25.4,10,10,2024-02-28T06:41:46,2024-02-28T18:35:04,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-02-29,33.9,24.7,28.7,37.1,24.7,30.7,22,69.1,0,0,0,,0,0,35.3,17.5,216.9,1010.6,34.5,5.5,289.4,25,10,10,2024-02-29T06:41:16,2024-02-29T18:35:12,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-01,34.1,24,28.2,38,24,29.9,21.8,70,0,0,0,,0,0,28.4,14.8,326.1,1011.7,33.4,5.9,291.7,25.1,10,10,2024-03-01T06:40:45,2024-03-01T18:35:20,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-02,33.4,23.5,27.9,37.1,23.5,29.5,21.5,69.9,0,0,0,,0,0,25.6,23.2,295.6,1011.9,34.2,6.1,243.9,21.1,8,10,2024-03-02T06:40:13,2024-03-02T18:35:26,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-03,33.5,24,28.3,38.2,24,30.6,22.4,71.8,0.1,100,4.17,rain,0,0,25.2,17.5,293.4,1011.1,30.3,5.7,264.9,22.9,9,10,2024-03-03T06:39:42,2024-03-03T18:35:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-04,34.2,25,28.3,37.1,25,30.2,21.9,69.7,0,0,0,,0,0,29.5,19.4,290,1011,24.8,6,274.5,24,10,10,2024-03-04T06:39:09,2024-03-04T18:35:39,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-05,33,24,28.1,37,24,30.3,22.3,71.9,0,0,0,,0,0,31.3,18.5,276.1,1011.1,19.7,6.3,260.2,22.6,10,10,2024-03-05T06:38:36,2024-03-05T18:35:45,0.83,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-06,33.3,24.5,28.1,36.8,24.5,29.6,21.4,68.8,0,0,0,,0,0,30.2,20.5,289.2,1011.6,25.8,6.3,244.7,21.2,10,10,2024-03-06T06:38:03,2024-03-06T18:35:50,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-07,33.3,24,28.2,36.1,24,29.6,20.7,65.4,0,0,0,,0,0,28.1,18.6,260.1,1010.5,19.9,6.4,253.9,21.8,9,10,2024-03-07T06:37:29,2024-03-07T18:35:55,0.9,Clear,Clear conditions throughout the day.,clear-day,"42705599999,VOCL,43314099999,43317099999,43320099999"
wayanad,2024-03-08,33.5,24,28,39.4,24,30.2,22.4,72.4,0.1,100,4.17,rain,0,0,26.6,18.6,295.3,1011.1,34.4,6,243.4,21,9,10,2024-03-08T06:36:55,2024-03-08T18:36:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42705599999,VOCL,43314099999,43317099999,43320099999"
